"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 23 22:08:39 BST 2021","Thu Sep 23 22:08:53 BST 2021","14461","","src\tests\foo.spec.ts","","","","Playwright test",""
"passed","Thu Sep 23 22:08:53 BST 2021","Thu Sep 23 22:08:55 BST 2021","1519","","src\tests\foo.spec.ts","","","","Google Page Test",""
